DonorID,DonationDate,DonationAmount,TransactionID
A1,2023-01-01,26,TXAA10
A1,2023-01-31,28,TXAA11
A1,2023-03-02,44,TXAA12
A1,2023-04-01,95,TXAA13
A1,2023-05-01,87,TXAA14
A1,2023-05-31,54,TXAA15
A1,2023-06-30,71,TXAA16
A1,2023-07-30,66,TXAA17
A1,2023-08-29,81,TXAA18
A1,2023-09-28,75,TXAA19
A1,2023-10-28,60,TXAA110
A1,2023-11-27,59,TXAA111
A1,2023-12-27,46,TXAA112
A1,2024-01-26,88,TXAA113
A1,2024-02-25,91,TXAA114
A1,2024-03-26,85,TXAA115
A1,2024-04-25,80,TXAA116
A1,2024-05-25,41,TXAA117
A1,2024-06-24,74,TXAA118
A1,2024-07-24,34,TXAA119
A1,2024-08-23,62,TXAA120
A2,2023-01-01,99,TXAA20
A2,2023-01-31,45,TXAA21
A2,2023-03-02,82,TXAA22
A2,2023-04-01,58,TXAA23
A2,2023-05-01,79,TXAA24
A2,2023-05-31,95,TXAA25
A2,2023-06-30,85,TXAA26
A2,2023-07-30,100,TXAA27
A2,2023-08-29,57,TXAA28
A2,2023-09-28,69,TXAA29
A2,2023-10-28,39,TXAA210
A2,2023-11-27,83,TXAA211
A2,2023-12-27,45,TXAA212
A2,2024-01-26,74,TXAA213
A2,2024-02-25,70,TXAA214
A2,2024-03-26,81,TXAA215
A2,2024-04-25,26,TXAA216
A2,2024-05-25,49,TXAA217
A2,2024-06-24,92,TXAA218
A2,2024-07-24,98,TXAA219
A2,2024-08-23,49,TXAA220
A3,2023-01-01,55,TXAA30
A3,2023-01-31,28,TXAA31
A3,2023-03-02,73,TXAA32
A3,2023-04-01,36,TXAA33
A3,2023-05-01,57,TXAA34
A3,2023-05-31,70,TXAA35
A3,2023-06-30,72,TXAA36
A3,2023-07-30,85,TXAA37
A3,2023-08-29,26,TXAA38
A3,2023-09-28,82,TXAA39
A3,2023-10-28,32,TXAA310
A3,2023-11-27,53,TXAA311
A3,2023-12-27,87,TXAA312
A3,2024-01-26,72,TXAA313
A3,2024-02-25,90,TXAA314
A3,2024-03-26,87,TXAA315
A3,2024-04-25,79,TXAA316
A3,2024-05-25,72,TXAA317
A3,2024-06-24,90,TXAA318
A3,2024-07-24,97,TXAA319
A3,2024-08-23,77,TXAA320
A4,2023-01-01,67,TXAA40
A4,2023-01-31,79,TXAA41
A4,2023-03-02,35,TXAA42
A4,2023-04-01,42,TXAA43
A4,2023-05-01,76,TXAA44
A4,2023-05-31,46,TXAA45
A4,2023-06-30,56,TXAA46
A4,2023-07-30,64,TXAA47
A4,2023-08-29,97,TXAA48
A4,2023-09-28,70,TXAA49
A4,2023-10-28,91,TXAA410
A4,2023-11-27,25,TXAA411
A4,2023-12-27,27,TXAA412
A4,2024-01-26,50,TXAA413
A4,2024-02-25,52,TXAA414
A4,2024-03-26,73,TXAA415
A4,2024-04-25,31,TXAA416
A4,2024-05-25,57,TXAA417
A4,2024-06-24,92,TXAA418
A4,2024-07-24,71,TXAA419
A4,2024-08-23,57,TXAA420
A5,2023-01-01,43,TXAA50
A5,2023-01-31,39,TXAA51
A5,2023-03-02,94,TXAA52
A5,2023-04-01,60,TXAA53
A5,2023-05-01,62,TXAA54
A5,2023-05-31,86,TXAA55
A5,2023-06-30,83,TXAA56
A5,2023-07-30,51,TXAA57
A5,2023-08-29,49,TXAA58
A5,2023-09-28,76,TXAA59
A5,2023-10-28,74,TXAA510
A5,2023-11-27,79,TXAA511
A5,2023-12-27,37,TXAA512
A5,2024-01-26,65,TXAA513
A5,2024-02-25,83,TXAA514
A5,2024-03-26,94,TXAA515
A5,2024-04-25,42,TXAA516
A5,2024-05-25,54,TXAA517
A5,2024-06-24,71,TXAA518
A5,2024-07-24,86,TXAA519
A5,2024-08-23,45,TXAA520
B1,2023-01-01,3086,TXBB10
